Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s)
RNN,relu,Adam,25,No,0.7206,0.7198,1.42
RNN,tanh,Adam,25,No,0.6804,0.6792,1.56
LSTM,N/A,Adam,25,No,0.7222,0.7218,1.79
BiLSTM,N/A,Adam,25,No,0.7232,0.7225,2.16
RNN,relu,Adam,25,Yes,0.7192,0.7191,1.74
RNN,tanh,Adam,25,Yes,0.6949,0.6945,1.72
LSTM,N/A,Adam,25,Yes,0.7224,0.7219,1.94
BiLSTM,N/A,Adam,25,Yes,0.7241,0.7238,2.43
RNN,relu,SGD,25,No,0.5046,0.5046,1.38
RNN,tanh,SGD,25,No,0.5137,0.5134,1.44
LSTM,N/A,SGD,25,No,0.5,0.389,1.5
BiLSTM,N/A,SGD,25,No,0.4934,0.4876,1.9
RNN,relu,SGD,25,Yes,0.5046,0.5046,1.58
RNN,tanh,SGD,25,Yes,0.5138,0.5135,1.56
LSTM,N/A,SGD,25,Yes,0.5,0.389,1.79
BiLSTM,N/A,SGD,25,Yes,0.4934,0.4876,2.26
RNN,relu,RMSProp,25,No,0.6815,0.6786,1.65
RNN,tanh,RMSProp,25,No,0.6806,0.6805,1.58
LSTM,N/A,RMSProp,25,No,0.7216,0.7215,1.63
BiLSTM,N/A,RMSProp,25,No,0.7241,0.7239,2.1
RNN,relu,RMSProp,25,Yes,0.7179,0.7178,1.67
RNN,tanh,RMSProp,25,Yes,0.7029,0.7029,1.85
LSTM,N/A,RMSProp,25,Yes,0.7214,0.7212,1.95
BiLSTM,N/A,RMSProp,25,Yes,0.7247,0.7247,2.36
RNN,relu,Adam,50,No,0.7261,0.7235,1.58
RNN,tanh,Adam,50,No,0.6192,0.6192,1.49
LSTM,N/A,Adam,50,No,0.757,0.757,1.65
BiLSTM,N/A,Adam,50,No,0.7696,0.7695,2.04
RNN,relu,Adam,50,Yes,0.7446,0.7442,1.66
RNN,tanh,Adam,50,Yes,0.7098,0.7067,1.79
LSTM,N/A,Adam,50,Yes,0.7655,0.7655,1.74
BiLSTM,N/A,Adam,50,Yes,0.7674,0.7673,2.3
RNN,relu,SGD,50,No,0.5084,0.508,1.46
RNN,tanh,SGD,50,No,0.5116,0.5108,1.33
LSTM,N/A,SGD,50,No,0.4967,0.3871,1.51
BiLSTM,N/A,SGD,50,No,0.4887,0.4829,1.78
RNN,relu,SGD,50,Yes,0.5084,0.5081,1.58
RNN,tanh,SGD,50,Yes,0.5116,0.5108,1.7
LSTM,N/A,SGD,50,Yes,0.4967,0.3871,1.68
BiLSTM,N/A,SGD,50,Yes,0.4887,0.4829,2.17
RNN,relu,RMSProp,50,No,0.6858,0.6838,1.46
RNN,tanh,RMSProp,50,No,0.6377,0.6343,1.53
LSTM,N/A,RMSProp,50,No,0.7504,0.7504,1.59
BiLSTM,N/A,RMSProp,50,No,0.7742,0.774,1.99
RNN,relu,RMSProp,50,Yes,0.7498,0.7467,1.79
RNN,tanh,RMSProp,50,Yes,0.7161,0.7161,1.65
LSTM,N/A,RMSProp,50,Yes,0.7682,0.7682,1.85
BiLSTM,N/A,RMSProp,50,Yes,0.7702,0.7702,2.29
RNN,relu,Adam,100,No,0.7069,0.706,1.62
RNN,tanh,Adam,100,No,0.6443,0.6433,1.71
LSTM,N/A,Adam,100,No,0.815,0.815,1.66
BiLSTM,N/A,Adam,100,No,0.8194,0.8194,2.33
RNN,relu,Adam,100,Yes,0.7745,0.7736,1.76
RNN,tanh,Adam,100,Yes,0.6752,0.6686,1.88
LSTM,N/A,Adam,100,Yes,0.8092,0.8081,1.9
BiLSTM,N/A,Adam,100,Yes,0.8215,0.8214,2.53
RNN,relu,SGD,100,No,0.5068,0.5068,1.51
RNN,tanh,SGD,100,No,0.5073,0.5027,1.7
LSTM,N/A,SGD,100,No,0.5,0.3892,1.62
BiLSTM,N/A,SGD,100,No,0.4931,0.486,2.16
RNN,relu,SGD,100,Yes,0.507,0.5069,1.68
RNN,tanh,SGD,100,Yes,0.5072,0.5026,1.73
LSTM,N/A,SGD,100,Yes,0.5,0.3892,1.96
BiLSTM,N/A,SGD,100,Yes,0.4931,0.486,2.29
RNN,relu,RMSProp,100,No,0.6966,0.6901,1.55
RNN,tanh,RMSProp,100,No,0.6662,0.6644,1.72
LSTM,N/A,RMSProp,100,No,0.8046,0.8032,1.73
BiLSTM,N/A,RMSProp,100,No,0.819,0.8189,2.49
RNN,relu,RMSProp,100,Yes,0.7543,0.7541,1.77
RNN,tanh,RMSProp,100,Yes,0.698,0.6969,1.8
LSTM,N/A,RMSProp,100,Yes,0.8115,0.8114,1.86
BiLSTM,N/A,RMSProp,100,Yes,0.8218,0.8217,2.7
